epoch,train_rmse,val_rmse
1,0.5923696671163403,0.5330611922969557
2,0.5537128086913605,0.49817483253674966
3,0.5039255312447541,0.4556547533975889
4,0.45503176884429897,0.419192703945996
5,0.4225180687585969,0.40139089455343274
6,0.4025127802526318,0.38388938005656414
7,0.38804687805574467,0.3768731363832134
8,0.37678376094618493,0.37042302268825167
9,0.3701924442638033,0.3626018421290672
10,0.36731640168522023,0.36427987422028635
11,0.36596527544514224,0.36247648792724085
12,0.36537202510531225,0.3669610074121658
13,0.3646822580449474,0.36665498859261814
14,0.364283246695937,0.3639558146261189
15,0.36434835576021396,0.3640690364249765
16,0.36419697149943203,0.35746874466334305
17,0.3634775516651651,0.3590650170633238
18,0.3632844065718859,0.3596578420841531
19,0.36320847649851584,0.3607357290509629
20,0.3633045067590161,0.3586826560431964
21,0.3626558452126843,0.3608116418531496
22,0.362195030225334,0.3579624177658395
23,0.3625799638022409,0.3567404463683089
24,0.3617743092529083,0.3594903398866523
25,0.3616457475662605,0.35659049292133277
26,0.36145978979875787,0.36360290662883077
