epoch,train_rmse,val_rmse
1,0.6147453822268432,0.5693128531926299
2,0.6107701157637072,0.56712858921861
3,0.607614965331531,0.5655844970925213
4,0.6021949484390289,0.5534454331006089
5,0.546215190194591,0.47210971557930725
6,0.4436076396248812,0.4067021852486754
7,0.39414183498595323,0.37031882462436205
8,0.3760939394657859,0.3591461980996067
9,0.36823885066401935,0.355341041822956
10,0.36352016018328137,0.3527992076253238
11,0.36063101184344803,0.34843627443052316
12,0.35839053082139527,0.34669678178552077
13,0.35674083522154626,0.34702125322328853
14,0.35538348465749664,0.3446591963506725
15,0.35411554719603927,0.34546579996200455
16,0.35344469957855584,0.34119697915364616
17,0.3525090498933587,0.3457895929682745
18,0.3515118693185646,0.3374371028109773
19,0.3508033896612328,0.3418276972966651
20,0.35054911915103515,0.3402637088135497
21,0.3496164176328775,0.3365830712938962
22,0.349030498387529,0.3375625042882684
23,0.3486628366193193,0.33829982950262827
24,0.34783793283068737,0.3359837722288419
25,0.3471608761005439,0.333666468074877
26,0.34723277900316946,0.3375409301829665
27,0.34660324626939404,0.3324486537338936
28,0.34596305619013984,0.3345733111851836
29,0.3455500581726403,0.3337326305369808
30,0.3454160153632528,0.3353512350827047
31,0.3449940496578142,0.33133977243345075
32,0.34456009637353,0.32935619827819196
33,0.344269767677714,0.3327799546391997
34,0.3440118176479862,0.32829241768954553
35,0.3437037722005303,0.3292811464773466
36,0.3436125693839124,0.33003671079465785
37,0.3431883308052317,0.32847055196762087
38,0.3429506158642106,0.33168626076554597
39,0.3424040195293389,0.3281332935372444
40,0.3420146463085294,0.32726133555582126
41,0.3421922967275295,0.3293170113269597
42,0.3415807433091031,0.3257559500328482
43,0.3417369704423819,0.32945156693458555
44,0.3412032791896342,0.3264107299177614
45,0.3410506327208241,0.32509044539438536
46,0.3408391373031527,0.3249848523368574
47,0.34056075716905165,0.3261406675593494
48,0.34060972359782327,0.32664080188698963
49,0.34034224391683443,0.326370741324882
50,0.3397498127765618,0.3233475178888399
51,0.3397370655126068,0.32494384801551085
52,0.3394718091548539,0.3239974764928426
53,0.33922064195873686,0.32328989334302405
54,0.3390746460035589,0.32560498208215793
55,0.33887002420285445,0.32720190237646235
56,0.3387498470901743,0.3224371334461317
57,0.3383536782749945,0.3219108337408876
58,0.33832358840393695,0.3254021398825188
59,0.33812925938057575,0.3233002969663437
60,0.3379979350445555,0.3225152946498296
61,0.3377042903708852,0.3217168506694167
62,0.3375936784622954,0.32337903853965133
63,0.3376718001472973,0.323949940890482
64,0.33735631830305035,0.31962391432017495
65,0.33715881253875163,0.32179423611458036
66,0.3369101545815365,0.3207247992900953
67,0.3365631266699379,0.3190267637167891
68,0.33646024308092676,0.3190518855232082
69,0.33633852422587324,0.31899038047006684
70,0.33624128600156006,0.31864438416206675
71,0.33563444810370874,0.3186254711183783
72,0.33535042739894294,0.31848154517069255
73,0.3353167396235606,0.3177684678606791
74,0.3352107299050706,0.31716831457125
75,0.3350536188034162,0.31754595082100123
76,0.3346556331663449,0.3189988631091706
77,0.33459603931106,0.31626914404842954
78,0.3344290707092696,0.3162519057319589
79,0.3342068024460817,0.3147956849777535
80,0.33396356591039905,0.3162738364036769
81,0.3340606672773156,0.3153370434290742
82,0.33372878208319035,0.316106808022277
83,0.3334631346093232,0.31465547231778707
84,0.33349546149752146,0.31479715843723244
85,0.3332201446689038,0.3139690260364585
86,0.33298087384836084,0.31610442922539905
87,0.33294724676240445,0.3145589094455928
88,0.3327027419541913,0.3145416036860584
89,0.33257585424499736,0.31337318159129524
90,0.33244710834059,0.3145071357080381
91,0.3323259585407615,0.3144596237842351
92,0.3321180008162258,0.314119592676424
93,0.3321316310920827,0.3124928701413821
94,0.3320700578843544,0.31402479026415575
95,0.33153974513018436,0.3131220953921749
96,0.3314750872596136,0.31249927135363015
97,0.33134467504962317,0.31306005030462186
98,0.3312719577329266,0.31215070543223866
99,0.3312197920860843,0.312337851524353
100,0.33090798118809667,0.3133564059864985
