escenario,h,T,mae_SARIMA,mae_DCRNN,dm_stat,p_value,veredicto
corto,3,19677,0.8074426541742302,0.6572814583778381,28.252244638360835,3.6115001803346713e-172,DCRNN mejor
medio,48,19560,1.0637420183270083,1.040120005607605,1.640504244729049,0.1009164465522645,equivalentes
largo,72,19464,1.0794462394081015,1.094000220298767,-1.0553652081815046,0.29127142858986566,equivalentes
