escenario,h,mae_A3T,mae_DCRNN,dm_stat,p_value,veredicto
corto,3,0.7233381867408752,0.6572700142860413,20.367332444927367,2.8448685259714395e-91,DCRNN mejor
medio,48,1.048439621925354,1.040083885192871,1.0286341644797712,0.3036643368622131,equivalentes
largo,72,1.108525037765503,1.0939580202102661,1.4010398556032624,0.16121809821640504,equivalentes
