escenario,h,T,par,mae_A,mae_B,dm_stat,p_value,veredicto
corto,3,6559,DCRNN-ClimaX,0.6668466925621033,1.567081373881814,-71.26039858036903,0.0,DCRNN mejor
corto,3,6559,DCRNN-SARIMA,0.6668466925621033,0.8248208671137215,-24.15955432589798,1.3115685463602183e-123,DCRNN mejor
corto,3,6559,ClimaX-SARIMA,1.567081373881814,0.8248208671137215,61.05485882148574,0.0,SARIMA mejor
medio,48,1630,DCRNN-ClimaX,0.9474343657493591,1.7995082308178298,-32.108057531843215,1.133977113544364e-175,DCRNN mejor
medio,48,1630,DCRNN-SARIMA,0.9474343657493591,0.978542829552865,-3.186064705323859,0.001469551682205674,DCRNN mejor
medio,48,1630,ClimaX-SARIMA,1.7995082308178298,0.978542829552865,28.911348195592126,1.0575104535013527e-148,SARIMA mejor
largo,72,811,DCRNN-ClimaX,0.7180729508399963,1.1813196022717296,-5.153123356947551,3.2207426473120276e-07,DCRNN mejor
largo,72,811,DCRNN-SARIMA,0.7180729508399963,0.6809780840517431,6.170417160758326,1.0752359555293267e-09,SARIMA mejor
largo,72,811,ClimaX-SARIMA,1.1813196022717296,0.6809780840517431,5.470196601370514,5.993489999730017e-08,SARIMA mejor
