epoch,train_rmse,val_rmse
1,0.5735662103270496,0.43924704749290255
2,0.44040044142545703,0.3900575565148706
3,0.4079061871099071,0.3756615828977872
4,0.3939008370680094,0.3806778415425183
5,0.3836757524906948,0.3617381896874676
6,0.37100020879265755,0.35201061719084437
7,0.35664036791897696,0.33998438038238105
8,0.3478295801554597,0.33142085222348777
9,0.3412813183999262,0.33787789075341945
10,0.33672037648986797,0.31552882300664303
11,0.33317366470312293,0.32095017939397735
12,0.33119242843666724,0.31805608884928976
13,0.3287591038385809,0.3311961039288403
14,0.326814755899389,0.31191721468755645
15,0.3253325210866363,0.3166071412498004
16,0.3238676566795992,0.31120070847746445
17,0.3224351174230331,0.3087177312537415
18,0.32151815320282984,0.31119560297221355
19,0.32019760039555406,0.30566716863684457
20,0.31918815519743043,0.30266451835632324
21,0.3179155538022903,0.300603225786392
22,0.31772564255675995,0.30533424534209785
23,0.31669322430866004,0.2974070523699669
24,0.3158504329104492,0.29773354562994553
25,0.3148425939193612,0.2988421500545658
26,0.31436575303076764,0.29756823941452865
27,0.31367651159087667,0.29579947443857585
28,0.31308330604527856,0.2956365395082186
29,0.31208723155155405,0.29732163891400376
30,0.31222305157612196,0.2956493652846715
