epoch,train_loss,val_mae_C,seg
1,0.26709429149051217,0.9452765583992004,124.1
2,0.11457774942908833,0.8521968722343445,115.5
3,0.10452951581857381,0.823412299156189,115.5
4,0.09793644795284888,0.8026182055473328,118.7
5,0.0935873986497581,0.7741833925247192,118.6
6,0.09069918188573911,0.7674891948699951,120.1
7,0.08860108801177774,0.7587206959724426,120.9
8,0.08680329052454373,0.744761049747467,122.4
9,0.085337344082908,0.7370083332061768,129.6
10,0.08444152186932768,0.7312552332878113,128.4
11,0.08348498403158992,0.7263082265853882,127.0
12,0.08282985031779631,0.7251043319702148,115.6
13,0.08222550961608147,0.742590069770813,114.5
14,0.0818824398307285,0.7253227233886719,122.8
15,0.08118865877953362,0.7283235192298889,120.1
16,0.08097400227477348,0.7239898443222046,116.3
17,0.08047435322459039,0.7158854007720947,116.2
18,0.07994881886808246,0.7099015712738037,123.5
19,0.07977794494858464,0.7175436615943909,115.1
20,0.07958506431736288,0.7194262742996216,114.2
21,0.07925862091445522,0.7174373269081116,117.8
22,0.0790324289415151,0.711994469165802,113.2
23,0.07874811238761578,0.711762547492981,113.0
24,0.07868674036518265,0.7194787263870239,112.1
25,0.07846529498537248,0.7066178917884827,116.0
26,0.07829938290203398,0.7121108174324036,113.2
27,0.07815911023825269,0.7144677042961121,117.8
28,0.07795406027823241,0.7054802775382996,114.6
29,0.07787445823809754,0.7155712246894836,113.9
30,0.0777038780876277,0.7070414423942566,117.2
31,0.07759157599351992,0.7153156995773315,119.8
32,0.07753939614684742,0.698829710483551,113.8
33,0.07742571821872689,0.7224027514457703,115.8
34,0.07748876587072528,0.7042807340621948,114.1
35,0.07730672708455609,0.7007036805152893,118.5
36,0.07711880653246565,0.7011263966560364,115.7
37,0.07715232855906823,0.7018822431564331,113.2
38,0.07704984225583499,0.6998701095581055,116.8
39,0.07687469981668456,0.7136371731758118,118.2
40,0.07689266661874979,0.7111542224884033,112.7
