epoch,train_loss,val_mae_C,seg
1,0.21795634884930612,1.096749186515808,2559.7
2,0.17498037170535477,1.0511679649353027,2564.4
3,0.17180820521182344,1.0711338520050049,2556.3
4,0.16938384956683106,1.0500428676605225,2566.3
5,0.16717374874233057,1.0509557723999023,2576.5
6,0.1652758671832425,1.0677623748779297,2562.3
7,0.1636782059905659,1.056450366973877,2563.4
8,0.1627206418197545,1.0518561601638794,2582.1
9,0.16152408711350505,1.0587737560272217,2576.3
10,0.16012163723312223,1.0660604238510132,2571.8
11,0.15927065129390816,1.0613523721694946,2589.2
12,0.15823090541956525,1.0627697706222534,2777.8
